IDs,Formula,Definition,Lower bound,Upper bound,Reaction name,comments,DB_IDs,ECs,Compartments,Kegg Definition,Kegg Equation,Pathways
UF00010_C,nad_c  +  ndodecanol_c  <=>  ddcal_c  +  h_c  +  nadh_c,NAD(1-)  +  dodecan-1-ol  <=>   dodecanal  +  H +   +  NADH(2-),-1000,1000,alcohol dehydrogenase (1.1.1.-),,ALCOHOL-DEHYDROGENASE-NADP,1.1.1.-,1,,,
UF00011_C,25bishydroxymethylfuran_c  +  nad_c  <=>  h_c  +  hmf_c  +  nadh_c,"NAD(1-)  +  2,5-furandimethanol  <=>   H +   +  NADH(2-)  +  5-hydroxymethylfurfural",-1000,1000,hydroxymethylfurfural reductase (1.1.1.-),,RXN-10738,1.1.1.-,1,,,
UF00012_C,4etpheoh_c  +  nad_c  <=>  4vinylphenol_c  +  h_c  +  nadh_c,NAD(1-)  +  4-ethylphenol  <=>   H +   +  NADH(2-)  +  4-vinylphenol,-1000,1000,4-ethylphenol dehydrogenase (1.1.1.-),,RXN-9837,1.1.1.-,1,,,
UF00013_C,mandelateS_c  +  nad_c  <=>  h_c  +  nadh_c  +  pheglx_c,NAD(1-)  +  (S)-mandelate  <=>   phenylglyoxylate  +  H +   +  NADH(2-),-1000,0,(S)-mandelate:NAD+ 2-oxidoreductase (1.1.1.379),,R03792,1.1.1.-|1.1.1.379,1,(S)-Mandelate + NAD+ <=> alpha-Oxo-benzeneacetic acid + NADH + H+,C01984 + C00003 <=> C02137 + C00004 + C00080,
UF00014_C,2mbald_c  +  h_c  +  nadh_c  -->  2mbtoh_c  +  nad_c,2-Methylbutanal  +  H +   +  NADH(2-)  <=>   2-methylbutan-1-ol  +  NAD(1-),-1000,1000,primary alcohol:NAD+ oxidoreductase (1.1.1.1),,R00623,1.1.1.1,1,Primary alcohol + NAD+ <=> Aldehyde + NADH + H+,C00226 + C00003 <=> C00071 + C00004 + C00080,rn00071  Fatty acid degradation
UF00015_C,2mbald_c  +  h_c  +  nadph_c  -->  2mbtoh_c  +  nadp_c,2-Methylbutanal  +  H +   +  NADPH(4-)  <=>   2-methylbutan-1-ol  +  NADP(3-),0,1000,primary alcohol:NAD+ oxidoreductase (1.1.1.1),,R00623,1.1.1.1,1,Primary alcohol + NAD+ <=> Aldehyde + NADH + H+,C00226 + C00003 <=> C00071 + C00004 + C00080,rn00071  Fatty acid degradation
UF00016_C,2mppal_c  +  h_c  +  nadh_c  -->  ibutoh_c  +  nad_c,2-methylpropanal  +  H +   +  NADH(2-)  <=>   isobutanol  +  NAD(1-),-1000,1000,primary alcohol:NAD+ oxidoreductase (1.1.1.1),,R00623,1.1.1.1,1,Primary alcohol + NAD+ <=> Aldehyde + NADH + H+,C00226 + C00003 <=> C00071 + C00004 + C00080,rn00071  Fatty acid degradation
UF00017_C,2mppal_c  +  h_c  +  nadph_c  -->  ibutoh_c  +  nadp_c,2-methylpropanal  +  H +   +  NADPH(4-)  <=>   isobutanol  +  NADP(3-),0,1000,alcohol dehydrogenase (isobutanol) (1.1.1.1),,ND,1.1.1.1,1,,,
UF00018_C,3mppal_c  +  h_c  +  nadh_c  -->  methionol_c  +  nad_c,3-methylthiopropanal  +  NADH(2-)  +  H +   <=>   methionol  +  NAD(1-),0,1000,alcohol dehydrogenase (1.1.1.1),,ND,1.1.1.1,1,,,
UF00019_C,chol_c  +  nad_c  -->  betald_c  +  h_c  +  nadh_c,NAD(1-)  +  choline  <=>   betaine aldehyde  +  H +   +  NADH(2-),-1000,1000,choline dehydrogenase (1.1.1.1),,R08557,1.1.1.1,1,Choline + NAD+ <=> Betaine aldehyde + NADH + H+,C00114 + C00003 <=> C00576 + C00004 + C00080,"rn00260  Glycine, serine and threonine metabolism, , MODULE M00555  Betaine biosynthesis, choline => betaine"
UF00020_C,chol_c  +  nadp_c  -->  betald_c  +  h_c  +  nadph_c,NADP(3-)  +  choline  <=>   NADPH(4-)  +  betaine aldehyde  +  H + ,-1000,0,choline dehydrogenase (1.1.1.1),,R08558,1.1.1.1,1,Choline + NADP+ <=> Betaine aldehyde + NADPH + H+,C00114 + C00006 <=> C00576 + C00005 + C00080,"rn00260  Glycine, serine and threonine metabolism, , MODULE M00555  Betaine biosynthesis, choline => betaine"
UF00022_C,acald_c  +  h_c  +  nadh_c  <=>  etoh_c  +  nad_c,Acetaldehyde  +  H +   +  NADH(2-)  <=>   Ethanol  +  NAD(1-),-1000,1000,ethanol:NAD+ oxidoreductase (1.1.1.1|1.1.1.71),,R00754,1.1.1.1|1.1.1.71,1,Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,C00469 + C00003 <=> C00084 + C00004 + C00080,"rn00010  Glycolysis / Gluconeogenesis, rn01110  Biosynthesis of secondary metabolites, rn01120  Microbial metabolism in diverse environments, rn01130  Biosynthesis of antibiotics"
UF00022_M,acald_m  +  h_m  +  nadh_m  -->  etoh_m  +  nad_m,Acetaldehyde  +  H +   +  NADH(2-)  <=>   Ethanol  +  NAD(1-),-1000,1000,ethanol:NAD+ oxidoreductase (1.1.1.1|1.1.1.71),,R00754,1.1.1.1|1.1.1.71,1,Ethanol + NAD+ <=> Acetaldehyde + NADH + H+,C00469 + C00003 <=> C00084 + C00004 + C00080,"rn00010  Glycolysis / Gluconeogenesis, rn01110  Biosynthesis of secondary metabolites, rn01120  Microbial metabolism in diverse environments, rn01130  Biosynthesis of antibiotics"
UF00023_C,ocal_c  +  h_c  +  nadh_c  <=>  ocoh_c  +  nad_c,octanal  +  NADH(2-)  +  H+   <=>   octan-1-ol  +  NAD(1-),-1000,1000,1-Octanol:NAD+ oxidoreductase (1.1.1.1|1.1.1.73),,R02878,1.1.1.1|1.1.1.73,1,1-Octanol + NAD+ <=> 1-Octanal + NADH + H+,C00756 + C00003 <=> C01545 + C00004 + C00080,
UF00024_C,nadp_c  +  xylt_c  <=>  h_c  +  nadph_c  +  xyluL_c,NADP(3-)  +  Xylitol  <=>   NADPH(4-)  +  L-Xylulose  +  H + ,-1000,0,Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming) (1.1.1.10),,R01904,1.1.1.10,1,Xylitol + NADP+ <=> L-Xylulose + NADPH + H+,C00379 + C00006 <=> C00312 + C00005 + C00080,"rn00040  Pentose and glucuronate interconversions, , MODULE M00014  Glucuronate pathway (uronate pathway)"
UF00026_C,3odcACP_c  +  nadph_c  <=>  3hdcACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxodecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxydecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00026_M,3odcACP_m  +  nadph_m  <=>  3hdcACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-Oxodecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxydecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00028_C,3oddcACP_c  +  nadph_c  <=>  3hddcACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxododecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxydodecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00028_M,3oddcACP_m  +  nadph_m  <=>  3hddcACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-Oxododecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxydodecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00031_C,3ohxdACP_c  +  nadph_c  <=>  3hhxdACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxohexadecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyhexadecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00031_M,3ohxdACP_m  +  nadph_m  <=>  3hhxdACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-Oxohexadecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyhexadecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00034_C,3oocdACP_c  +  nadph_c  <=>  3hocdACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxooctadecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyoctadecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00034_M,3oocdACP_m  +  nadph_m  <=>  3hocdACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-Oxooctadecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyoctadecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00036_C,3otdACP_c  +  nadph_c  <=>  3htdACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxotetradecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxytetradecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00036_M,3otdACP_m  +  nadph_m  <=>  3htdACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-Oxotetradecanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxytetradecanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00037_C,3ohxACP_c  +  nadph_c  <=>  3hhxACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxohexanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyhexanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00037_M,3ohxACP_m  +  nadph_m  <=>  3hhxACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-oxo-hexanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxy-hexanoyl-[acp],0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00038_C,3oocACP_c  +  nadph_c  <=>  3hocACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  3-Oxooctanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxyoctanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00038_M,3oocACP_m  +  nadph_m  <=>  3hocACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  3-oxo-octanoyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxy-octanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R02767,1.1.1.100,0,(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+,C01271 + C00006 <=> C00685 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, "
UF00039_C,3kglutmeACP_c + nadph_c + h_c --> 3hglutmeACP_c + nadp_c,3-ketoglutarate-methylester-ACP + NADPH + H --> 3-hydroxyglutarate-methylester + NADP+,0,1000,3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase (1.1.1.100),,R10116,1.1.1.100,0,3-Ketoglutaryl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxyglutaryl-[acp] methyl ester + NADP+,C20372 + C00005 + C00080 <=> C20373 + C00006,"rn00780  Biotin metabolism, , MODULE M00572  Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"
UF00040_C,3kpimemeACP_c + nadph_c + h_c --> 3hpimemeACP_c + nadp_c,3-ketopimelate-methylester-ACP + NADPH + H+ --> 3-hydroxypimelate-methylester + NADP,0,1000,3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase (1.1.1.100),,R10120,1.1.1.100,0,3-Ketopimeloyl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxypimeloyl-[acp] methyl ester + NADP+,C20376 + C00005 + C00080 <=> C20377 + C00006,"rn00780  Biotin metabolism, , MODULE M00572  Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"
UF00042_C,actACP_c  +  nadph_c  <=>  3hbtACP_c  +  h_c  +  nadp_c,NADPH(4-)  +  acetoacetyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxy-butanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R04533,1.1.1.100,0,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+,C04618 + C00006 <=> C05744 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, rn01212  Fatty acid metabolism, MODULE M00083  Fatty acid biosynthesis, elongation"
UF00042_M,actACP_m  +  nadph_m  <=>  3hbtACP_m  +  h_m  +  nadp_m,NADPH(4-)  +  acetoacetyl-[acp]  <=>   H +   +  NADP(3-)  +  (R)-3-hydroxy-butanoyl-ACP,0,1000,3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100),,R04533,1.1.1.100,0,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+,C04618 + C00006 <=> C05744 + C00005 + C00080,"rn00061  Fatty acid biosynthesis, rn01212  Fatty acid metabolism, MODULE M00083  Fatty acid biosynthesis, elongation"
UF00043_C,1agly3p_c  +  h_c  +  nadph_c  -->  1ag3p_c  +  nadp_c,1-acylglycerone 3-phosphate  +  NADPH(4-)  +  H +   <=>   1-Acyl-sn-glycerol 3-phosphate  +  NADP(3-),0,1000,1-acylglycerone phosphate reductase (1.1.1.101),,R02756,1.1.1.101,1,1-Acyl-sn-glycerol 3-phosphate + NADP+ <=> Acylglycerone phosphate + NADPH + H+,C00681 + C00006 <=> C03372 + C00005 + C00080,"rn00564  Glycerophospholipid metabolism, "
UF00044_C,3dsphgn_c  +  h_c  +  nadph_c  -->  nadp_c  +  sphgn_c,3-dehydrosphinganinium(1+)  +  H +   +  NADPH(4-)  <=>   NADP(3-)  +  sphinganine(1+),0,1000,Sphinganine:NADP+ 3-oxidoreductase (1.1.1.102),,R02978,1.1.1.102,1,Sphinganine + NADP+ <=> 3-Dehydrosphinganine + NADPH + H+,C00836 + C00006 <=> C02934 + C00005 + C00080,"rn00600  Sphingolipid metabolism, , MODULE M00094  Ceramide biosynthesis, M00099  Sphingosine biosynthesis"
UF00045_C,nad_c  +  thrL_c  -->  aact_c  +  co2_c  +  nadh_c,NAD(1-)  +  L-threonine zwitterion  <=>   ammonioacetone  +  carbon dioxide  +  NADH(2-),0,1000,threonine dehydrogenase (1.1.1.103),,RXN-14249,1.1.1.103,1,,,
UF00046_C,nad_c  +  thrL_c  -->  2aobut_c  +  h_c  +  nadh_c,NAD(1-)  +  L-threonine zwitterion  <=>   H +   +  L-2-amino-3-oxobutanoic acid zwitterion  +  NADH(2-),0,1000,L-threonine:NAD+ oxidoreductase (1.1.1.103),,R01465,1.1.1.103,1,L-Threonine + NAD+ <=> L-2-Amino-3-oxobutanoic acid + NADH + H+,C00188 + C00003 <=> C03508 + C00004 + C00080,"rn00260  Glycine, serine and threonine metabolism, "
UF00047_C,nadp_c  +  thrD_c  <=>  2aobut_c  +  h_c  +  nadph_c,D-threonine zwitterion  +  NADP(3-)  <=>   L-2-amino-3-oxobutanoic acid zwitterion  +  NADPH(4-)  +  H + ,-1000,1000,D-threonine dehydrogenase (1.1.1.103),,ND,1.1.1.103,1,,,
UF00048_C,abtD_c  +  nad_c  -->  h_c  +  nadh_c  +  xyluD_c,NAD(1-)  +  D-arabinitol  <=>   D-Xylulose  +  NADH(2-)  +  H + ,0,1000,D-arabinitol:NAD 4-oxidoreductase (1.1.1.11),,R05604,1.1.1.11,1,D-Arabitol + NAD+ <=> D-Xylulose + NADH + H+,C01904 + C00003 <=> C00310 + C00004 + C00080,"rn00040  Pentose and glucuronate interconversions, "
UF00049_C,mnl_c  +  nadp_c  <=> fru_c  +  h_c  +  nadph_c,D-Mannitol  +  NADP(3-)  <=>   D-Fructose  +  NADPH(4-)  +  H + ,-1000,0,D-Mannitol:NAD+ 2-oxidoreductase (1.1.1.11|1.1.1.67),,R00868,1.1.1.11|1.1.1.67,1,Mannitol + NAD+ <=> D-Fructose + NADH + H+,C00392 + C00003 <=> C00095 + C00004 + C00080,"rn00051  Fructose and mannose metabolism, "
UF00050_C,34hplac_c  +  nad_c <-- 34hpp_c  +  h_c  +  nadh_c,NAD(1-)  +  (R)-3-(4-hydroxyphenyl)lactate  <=>   3-(4-Hydroxyphenyl)pyruvate  +  H +   +  NADH(2-),-1000,0,(R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidoreductase (1.1.1.110),,R03337,1.1.1.110,1,(R)-3-(4-Hydroxyphenyl)lactate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + NADH + H+,C03964 + C00003 <=> C01179 + C00004 + C00080,"rn00130  Ubiquinone and other terpenoid-quinone biosynthesis, rn00350  Tyrosine metabolism, rn01110  Biosynthesis of secondary metabolites"
UF00051_C,arabD_c  +  nad_c  -->  ara14lacD_c  +  h_c  +  nadh_c,"D-Arabinose  +  NAD(1-)  <=>   D-arabinono-1,4-lactone  +  NADH(2-)  +  H + ",0,1000,D-Arabinose:NADP+ 1-oxidoreductase (1.1.1.117),,R01574,1.1.1.116,1,"D-Arabinose + NAD+ <=> D-Arabinono-1,4-lactone + NADH + H+",C00216 + C00003 <=> C00652 + C00004 + C00080,
UF00052_C,arabD_c  +  nadp_c  -->  ara14lacD_c  +  h_c  +  nadph_c,"D-Arabinose  +  NADP(3-)  <=>   D-arabinono-1,4-lactone  +  NADPH(4-)  +  H + ",0,1000,D-Arabinose:NADP+ 1-oxidoreductase (1.1.1.117),,R01575,1.1.1.117,1,"D-Arabinose + NADP+ <=> D-Arabinono-1,4-lactone + NADPH + H+",C00216 + C00006 <=> C00652 + C00005 + C00080,
UF00053_C,abt_c  +  nad_c  <=>  h_c  +  nadh_c  +  xyluL_c,L-arabinitol  +  NAD(1-)  <=>   L-Xylulose  +  NADH(2-)  +  H + ,-1000,1000,L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming) (1.1.1.12),,R01903,1.1.1.12,1,L-Arabitol + NAD+ <=> L-Xylulose + NADH + H+,C00532 + C00003 <=> C00312 + C00004 + C00080,
UF00054_C,fclL_c  +  nad_c  -->  Lfuc15lac_c  +  h_c  +  nadh_c,"L-fuculose  +  NAD(1-)  <=>   L-Fucono-1,5-lactone  +  NADH(2-)  +  H + ",0,1000,L-fucose:NAD+ 1-oxidoreductase (1.1.1.122),,R08926,1.1.1.122,1,"6-Deoxy-L-galactose + NAD+ <=> L-Fucono-1,5-lactone + NADH + H+",C01019 + C00003 <=> C18028 + C00004 + C00080,"rn00051  Fructose and mannose metabolism, rn01120  Microbial metabolism in diverse environments"
UF00055_C,h_c  +  nadh_c  +  ru5pD_c --> nad_c  +  rbt5p_c,D-ribulose 5-phosphate(2-)  +  NADH(2-)  +  H +  <=> D-ribitol 5-phosphate(2-)  +  NAD(1-),-1000,1000,D-Ribitol-5-phosphate:NAD+ 2-oxidoreductase (1.1.1.137),,R01524,1.1.1.137,1,D-Ribitol 5-phosphate + NAD+ <=> D-Ribulose 5-phosphate + NADH + H+,C01068 + C00003 <=> C00199 + C00004 + C00080,"rn00040  Pentose and glucuronate interconversions, "
UF00056_C,h_c  +  nadph_c  +  ru5pD_c  -->  nadp_c  +  rbt5p_c,NADPH(4-)  +  D-ribulose 5-phosphate(2-)  +  H +   <=>   NADP(3-)  +  D-ribitol 5-phosphate(2-),0,1000,D-Ribitol-5-phosphate:NADP+ 2-oxidoreductase (1.1.1.137),,R01525,1.1.1.137|1.1.1.405,1,D-Ribitol 5-phosphate + NADP+ <=> D-Ribulose 5-phosphate + NADPH + H+,C01068 + C00006 <=> C00199 + C00005 + C00080,"rn00040  Pentose and glucuronate interconversions, "
